AT1G02580.SNP3,0,0,0,94,187,172,115,208,160,0,0,0,0,0,0,86,82,82,75,67,107,0,0,0
AT1G02580.SNP4,0,0,0,110,162,172,103,184,171,0,0,0,0,0,0,86,87,82,75,70,98,0,0,0
AT1G02580.SNP5,0,0,1,237,248,246,305,300,276,0,0,1,4,0,0,84,184,112,121,196,117,4,0,0
AT1G55560.SNP1656,0,0,4,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
AT1G55560.SNP1657,16,11,21,193,61,115,213,109,109,0,11,20,5,30,15,675,653,917,657,792,883,12,13,13
AT1G55560.SNP1658,17,18,17,170,101,101,230,114,120,5,2,8,0,5,47,519,520,727,480,564,805,0,42,35
AT1G55560.SNP1659,16,11,5,155,74,53,122,70,75,27,6,5,7,16,25,430,467,538,409,529,496,7,17,14
AT1G55560.SNP1660,66,38,20,3255,3610,4305,2602,3197,3436,67,51,20,14,9,12,655,654,701,541,562,533,14,8,13
AT1G55560.SNP1661,12,6,0,131,37,88,107,80,70,12,6,0,0,13,4,447,750,653,494,539,556,2,16,7
AT1G55560.SNP1662,15,20,13,113,47,109,160,92,117,5,17,12,21,19,32,490,843,736,563,817,774,9,11,16
AT1G65300.SNP2366,15,29,9,2657,3349,2656,2944,3841,2856,15,33,7,1,2,0,1117,1218,950,1257,1545,1082,1,2,0
AT1G65300.SNP2367,6,0,2,1465,1631,1375,2056,2289,1997,6,0,4,4,0,0,373,437,407,500,683,654,3,0,0
AT1G65300.SNP2368,5,0,2,1255,1589,1264,2063,2355,1980,6,0,2,0,0,0,333,430,386,527,694,664,0,0,0
AT1G65300.SNP2369,2,0,2,695,1095,968,772,1030,828,3,13,2,0,0,0,273,306,314,236,339,316,0,0,0
AT1G65300.SNP2370,0,0,6,780,1230,1106,918,1683,1304,0,13,2,1,0,0,344,336,249,411,460,323,1,0,0
