AT1G02580.SNP3,0,0,0,72,56,118,78,80,105,0,0,0,0,0,8,88,115,99,129,129,83,0,0,8
AT1G02580.SNP4,0,0,0,72,51,115,78,74,91,0,0,0,0,0,8,87,114,97,129,117,83,0,0,8
AT1G02580.SNP5,0,0,1,97,114,92,84,101,95,0,0,1,3,5,0,104,99,94,92,116,104,3,5,0
AT1G55560.SNP1656,4,2,0,9,3,8,19,3,6,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0
AT1G55560.SNP1657,1,5,0,857,646,574,874,597,537,14,5,0,30,24,21,65,97,36,36,80,63,15,12,22
AT1G55560.SNP1658,5,12,43,688,557,466,748,662,540,6,16,20,12,26,49,53,73,25,90,82,20,6,20,22
AT1G55560.SNP1659,20,8,21,583,572,354,491,521,351,4,4,21,39,44,53,28,40,29,61,60,30,10,50,44
AT1G55560.SNP1660,39,10,16,3729,3579,2785,3129,2853,2293,22,10,26,47,39,32,36,80,46,31,59,22,23,51,55
AT1G55560.SNP1661,2,8,4,570,537,519,528,436,447,0,8,4,12,4,21,40,116,34,23,53,68,20,20,29
AT1G55560.SNP1662,22,12,22,652,652,511,731,518,617,14,11,3,28,30,22,65,83,29,50,90,72,24,23,19
AT1G65300.SNP2366,4,1,2,1463,1272,1136,1336,1368,1316,4,1,2,21,1,2,2181,1810,2023,2399,2016,2193,21,1,2
AT1G65300.SNP2367,0,3,0,730,639,603,1031,946,1006,0,3,0,7,0,2,1012,905,816,1409,1319,1232,7,0,2
AT1G65300.SNP2368,0,3,0,652,652,555,1033,924,1025,0,3,0,7,0,0,908,826,746,1420,1339,1188,7,0,0
AT1G65300.SNP2369,0,0,0,494,436,403,453,400,419,0,0,0,8,6,0,736,694,450,686,574,534,8,6,0
AT1G65300.SNP2370,0,0,0,503,491,380,612,547,486,0,0,0,2,6,0,709,800,428,858,1029,621,2,6,0
AT1G65300.SNP2371,0,0,0,415,442,364,517,464,425,0,0,0,1,0,0,704,728,557,813,883,604,1,6,0
AT1G65300.SNP2372,0,0,0,295,307,240,274,271,253,0,0,0,0,2,1,2166,2178,2013,1868,1963,1663,0,5,1
AT1G65300.SNP2373,0,0,0,320,320,245,274,272,255,0,0,0,0,0,0,640,521,535,573,588,432,0,0,0
AT1G65300.SNP2374,0,0,0,383,350,250,267,264,245,0,0,0,0,0,0,717,629,605,599,593,439,0,0,0
