"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Col_x_Col,Ler_x_Ler,AT1G01530.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Col,Ler_x_Ler,AT1G02580.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Col,Ler_x_Ler,AT1G02790.1,"1",1,1,1,8,25137.7994083333,91691.341875,24836.6304083333,24774.3177333333,25137.7994083333,91691.341875,24836.6304083333,3096.78971666667,8.11737370252935,29.6085140626516,8.02012170043856,NA,0.0215087885639849,0.000614972851514924,0.0220827446567393,NA
Col_x_Col,Ler_x_Ler,AT1G02940.1,"1",1,1,1,8,608751.644033334,2848171.20333333,612125.7723,15731.7319333334,608751.644033334,2848171.20333333,612125.7723,1966.46649166667,309.566243113245,1448.37006651427,311.282076198103,NA,1.11251143933597e-07,2.49509756365928e-10,1.08872857887121e-07,NA
Col_x_Col,Ler_x_Ler,AT1G03445.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Col,Ler_x_Ler,AT1G04020.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Col,Ler_x_Ler,AT1G04445.1,"1",1,1,1,8,1985.06963333333,302926.963333333,2050.42163333333,10710.5710666667,1985.06963333333,302926.963333333,2050.42163333333,1338.82138333333,1.48269937875581,226.263911754322,1.53151246227356,NA,0.258046661842245,3.77065421001317e-07,0.250974300198781,NA
Col_x_Col,Ler_x_Ler,AT1G04540.1,"1",1,1,1,8,14928.3802083334,631322.575408333,14697.900075,6448.4628,14928.3802083334,631322.575408333,14697.900075,806.05785,18.5202342590341,783.222414381713,18.2342992813729,NA,0.00260336307777676,2.86937782702122e-09,0.00272357303034718,NA
Col_x_Col,Ler_x_Ler,AT1G04635.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Col,Ler_x_Ler,AT1G05160.1,"1",1,1,1,8,557946.937633334,6656366.9808,556628.072533334,50381.4354,557946.937633334,6656366.9808,556628.072533334,6297.679425,88.5956397555649,1056.95551195828,88.3862189497417,NA,1.3313972951752e-05,8.73376136851005e-10,1.34311012582883e-05,NA
Col_x_Col,Ler_x_Ler,AT1G05280.1,"1",1,1,1,8,66699.8852083333,314503.703008333,67288.665675,2473.6204,66699.8852083333,314503.703008333,67288.665675,309.20255,215.715831607253,1017.14459666757,217.620021810945,NA,4.53669600595882e-07,1.01727339557878e-09,4.38492267542285e-07,NA
Col_x_Col,Ler_x_Ler,AT1G05570.1,"1",1,1,1,8,1281.54000833332,2964336.62440833,1227.55640833332,37183.345,1281.54000833332,2964336.62440833,1227.55640833332,4647.918125,0.275723447330156,637.777289678125,0.264108870965389,NA,0.613755162994032,6.47217736764167e-09,0.621201503709593,NA
Col_x_Col,Ler_x_Ler,AT1G05820.1,"1",1,1,1,8,1558.1523,34709.6120333333,1554.0528,439.269533333333,1558.1523,34709.6120333333,1554.0528,54.9086916666666,28.3771521903863,632.133292194329,28.3024918793215,NA,0.000705052173359965,6.70376838178623e-09,0.000711028703203649,NA
